epic,cavity,text,command,sleep,refno,comments,mPixel
Log into wifi with the wrong password,1738 94,,,1,2,,
,350 490,,,0.1,,,
,290 679,,,0.1,,,
,365 703,,,5,,,
,scroll_down,,,,,,
,scroll_down,,,,,,
,scroll_down,,,,,,
,scroll_down,,,,,,
,scroll_down,,,,,,
,scroll_down,,,,,,
,scroll_down,,,,,,
,scroll_down,,,,,,
,scroll_down,,,1.4,,,
,360 668,,,1,,,
,305 400,,,,,,
,305 400,eternia-hbl-n-wpa2-2_4,,,,,
,submit_cavity,,,1,,,
,1600 600,,,,,,
,350 770,,,1,,,
,300 400,,,,,,
,300 400,lab88a**,ss 1,1,,,
,submit_cavity,,,15,,,1036 350-#EFEFEF-4-p
,1169 667,,,1,,ok button,
,go_back,,,1,,,
,go_back,,,1,,,
Close the cooking menu using the 'X' in the upper right corner,,,,,22,,
,947 306,,,1,,,1751 94-#FFFFFF-4-p
,top_right_x_cavity,,ss 1,3,,,
,smarthq_cavity,,,1,,,
,get_started_cavity,,,1,,,
,get_started_cavity,,,1,,,
,add_a_network_cavity,,,1,,,
,network_name_cavity,,,0.3,,,
,access_point_field_cavity,EERO LAB,,,,,
,exit_kb,,,,,,
,add_network_security_dropdown_cavity,,,0.3,,,
,wpa2_key_cavity,,,1,,,
,next_to_wifi_password_cavity,,,1.5,,,
,wifi_password_cavity,,,,,,
,wifi_password_cavity,password,,,,,
,exit_kb,,,1,,,
,next_cavity,,,6,,,
,time_zone_dropdown_cavity,,,0.3,,,
,time_zone_dropdown_cavity,,,0.3,,,
,next_cavity,,,4,,,
,sign_in_cavity,,,9,,,
,email_account_field_cavity,,,,,,
,email_account_field_cavity,,,,,,
,email_account_field_cavity,,,,,,
,email_account_field_cavity,,,,,,
,email_account_field_cavity,,,,,,
,email_account_field_cavity,,,,,,
,exit_kb,,,,,,
,go_back,,,1,,,
,exit_kb,,,,,,
,scroll_down,,,,,,
,sign_in_cavity,,,9,,,
,email_account_field_cavity,,,0.3,,,
,email_account_field_cavity,ge.cstmr@gmail.com,,,,,
,exit_kb,,,,,,
,nextf_cavity,,,4,,,
,password_account_field_cavity,,,,,,
,exit_kb,,,,,,
,scroll_down,,,,,,
,password_account_field_cavity,,,1,,,
,password_account_field_cavity,GeneralElectric69,,,,,
,tap,,,,,,
,exit_kb,,,1,,,
,sign_in_next_cavity,,,8,,,
,bottom_right_next_cavity,,ss 1,1,,,
,bottom_right_next_cavity,,,1,,,
,bottom_right_next_cavity,,,1,,,
"If remote control is enabled confirm that the ""phone connection"" icon appears next to the time on both the top of the screen and on the lock screen",bottom_right_next_cavity,,ss 1,8,1,,
,bottom_right_next_cavity,,,,,,
,decomission,,,,,,823 1003-#FCFCFC-4-p
,,,,8,,,
"While in the keyboard, type something and toggle the caps lock once for the first letter",1750 91,,,1,14,,
,897 503,,,1,,,
,782 672,,,5,,,
,scroll_down,,,,,,
,scroll_down,,,,,,
,scroll_down,,,,,,
,scroll_down,,,,,,
,scroll_down,,,,,,
,scroll_down,,,,,,
,scroll_down,,,,,,
,scroll_down,,,,,,
,scroll_down,,,0.5,,,
,501 699,,,1,,,
,500 418,,,1,,,
,187 869,,,0.1,,caps lock,
,492 900,,,0.1,,,
,187 869,,,0.1,,,
,492 900,,,0.1,,,
